tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
14.7,12.8,19.4,0.0,,296.0,10.4,,1017.4,
14.4,12.8,19.4,0.0,,302.0,8.6,,1011.6,
15.2,13.9,20.0,0.0,,285.0,10.4,,1012.9,
17.2,12.2,18.9,0.0,,261.0,9.4,,1017.6,
15.2,10.6,22.2,0.0,,12.0,7.6,,1018.4,
17.8,13.3,26.1,0.0,,359.0,4.0,,1017.9,
20.4,13.3,31.1,0.0,,332.0,4.0,,1017.2,
18.2,11.7,23.9,0.0,,316.0,7.6,,1014.1,
14.4,10.6,18.3,0.0,,290.0,12.2,,1012.4,
16.3,12.8,20.0,0.0,,270.0,19.4,,1009.4,
14.1,7.2,21.1,0.0,,352.0,9.7,,1015.8,
14.8,8.3,22.8,0.0,,339.0,7.6,,1022.4,
14.8,11.7,18.9,0.0,,259.0,8.6,,1020.7,
12.8,7.2,18.3,0.0,,311.0,9.0,,1019.0,
13.1,7.2,20.6,0.0,,2.0,8.6,,1018.2,
13.2,7.8,19.4,0.0,,357.0,6.8,,1022.0,
12.8,7.8,21.1,0.0,,331.0,6.5,,1023.9,
15.2,11.1,20.0,0.0,,301.0,5.8,,1020.1,
13.2,10.0,18.9,0.0,,302.0,9.0,,1014.2,
13.4,10.0,15.6,8.9,,214.0,16.9,,1012.7,
11.6,7.8,15.0,0.8,,227.0,13.7,,1019.2,
10.0,4.4,15.6,0.0,,347.0,9.4,,1023.5,
10.7,5.0,16.7,0.0,,34.0,6.5,,1027.4,
13.7,12.2,17.2,2.3,,170.0,8.6,,1020.6,
13.9,11.1,16.1,0.8,,243.0,14.8,,1013.2,
12.6,9.4,16.1,1.5,,175.0,15.1,,1011.7,
10.6,8.3,13.3,42.7,,176.0,14.8,,1005.2,
10.4,7.2,15.0,0.3,,166.0,11.5,,1020.3,
10.2,6.1,15.0,0.0,,11.0,7.2,,1024.8,
9.4,5.6,15.6,0.0,,23.0,6.8,,1021.4,
10.0,5.6,15.0,0.0,,325.0,8.6,,1020.6,
11.4,5.0,17.2,0.0,,351.0,7.9,,1021.5,
9.5,4.4,16.1,0.0,,25.0,8.6,,1021.5,
11.2,5.6,17.8,0.0,,18.0,6.8,,1024.2,
11.4,5.0,18.9,0.0,,8.0,5.8,,1027.9,
10.8,5.0,18.3,0.0,,8.0,6.1,,1024.5,
10.5,5.0,17.8,0.0,,37.0,7.6,,1019.3,
11.2,6.1,17.2,0.0,,39.0,7.9,,1022.1,
10.5,3.9,16.7,0.0,,25.0,5.8,,1024.2,
10.6,4.4,17.2,0.0,,41.0,6.1,,1022.7,
10.4,3.9,17.2,0.0,,26.0,4.7,,1022.1,
11.5,6.1,18.9,0.0,,16.0,4.7,,1022.3,
12.1,5.6,21.1,0.0,,22.0,6.1,,1023.3,
12.6,5.6,23.3,0.0,,34.0,6.5,,1025.5,
11.6,5.6,17.2,0.0,,1.0,5.4,,1022.0,
11.0,5.0,18.9,0.0,,356.0,5.4,,1019.5,
10.4,6.1,15.6,0.0,,306.0,10.8,,1016.2,
8.8,2.8,13.3,0.0,,2.0,7.9,,1017.5,
8.0,2.8,14.4,0.0,,115.0,8.6,,1015.7,
10.1,5.2,11.1,13.0,,203.0,14.4,,1013.2,
7.5,1.5,13.3,0.0,,56.0,10.8,,1020.7,
8.2,7.2,10.0,21.1,,17.0,4.0,,1015.8,
10.7,7.8,16.7,1.3,,159.0,10.8,,1018.5,
11.9,7.8,15.6,0.8,,185.0,10.8,,1017.4,
10.7,6.1,14.4,0.5,,50.0,8.6,,1018.3,
8.6,4.4,14.4,0.0,,39.0,6.5,,1023.8,
8.6,4.4,13.9,0.5,,133.0,11.2,,1024.7,
10.4,6.1,13.3,0.0,,188.0,4.7,,1021.1,
12.2,7.8,15.6,32.3,,177.0,20.5,,1008.3,
10.1,7.8,11.7,10.9,,196.0,16.9,,1008.5,
8.8,4.4,11.7,1.0,,335.0,10.4,,1014.9,
6.6,2.2,12.2,0.0,,19.0,5.0,,1020.8,
6.7,2.8,11.7,0.0,,36.0,6.1,,1024.4,
8.0,3.9,12.8,0.0,,37.0,7.6,,1022.6,
7.6,2.8,15.0,0.0,,41.0,8.3,,1021.9,
7.6,2.2,12.2,0.0,,26.0,5.8,,1019.1,
7.0,2.2,12.2,0.0,,26.0,7.6,,1018.5,
6.4,3.3,9.4,0.0,,34.0,13.7,,1025.4,
7.8,6.1,12.8,0.3,,15.0,7.9,,1027.9,
8.7,4.4,14.4,0.0,,8.0,5.8,,1025.3,
9.9,6.7,15.0,0.0,,28.0,8.3,,1021.6,
10.3,7.8,14.4,0.0,,9.0,7.6,,1024.5,
10.6,5.6,15.0,0.0,,18.0,6.1,,1028.5,
11.4,6.7,16.7,0.0,,28.0,4.3,,1025.2,
10.6,7.8,13.9,4.8,,94.0,7.2,,1019.6,
13.0,8.9,14.4,39.1,,201.0,14.8,,1012.8,
9.6,5.0,14.4,0.0,,18.0,4.7,,1015.6,
10.8,9.4,13.9,11.4,,106.0,10.4,,1013.4,
13.2,12.2,16.7,20.3,,179.0,16.2,,1014.1,
15.2,9.4,14.4,110.2,,289.0,10.4,,1006.9,
10.2,5.0,16.7,0.0,,334.0,8.3,,1011.8,
8.5,5.0,11.7,9.9,,55.0,13.7,,1011.7,
9.1,7.8,12.2,0.0,,40.0,15.1,,1015.5,
11.6,8.3,16.7,23.1,,131.0,23.4,,1007.6,
13.2,9.4,13.9,15.5,,184.0,13.0,,1013.2,
